"filename", "language", "XML", "Java", "comment", "blank", "total"
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\playback\Devices.java", "Java", 0, 11, 0, 6, 17
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\playback\ExternalIds.java", "Java", 0, 29, 0, 11, 40
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\playback\ExternalUrl.java", "Java", 0, 10, 0, 6, 16
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\playback\Image.java", "Java", 0, 29, 0, 11, 40
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\playback\Item.java", "Java", 0, 190, 0, 52, 242
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\playback\PlaybackContext.java", "Java", 0, 37, 0, 14, 51
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\rest\Builders.java", "Java", 0, 73, 0, 9, 82
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\rest\ResponseCodes.java", "Java", 0, 13, 0, 2, 15
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\main\java\com\spotify\rest\ResponseHandler.java", "Java", 0, 60, 0, 12, 72
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\src\test\java\com\spotify\AppTest.java", "Java", 0, 11, 6, 4, 21
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\App.class", "Java", 0, 27, 0, 0, 27
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\auth\AccessToken.class", "Java", 0, 11, 0, 0, 11
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\auth\Authenticator.class", "Java", 0, 60, 9, 0, 69
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\auth\CallbackCode.class", "Java", 0, 9, 0, 0, 9
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\Caller.class", "Java", 0, 21, 0, 0, 21
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\Command.class", "Java", 0, 6, 0, 0, 6
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\GetAvailableDevicesCommand.class", "Java", 0, 26, 0, 0, 26
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\GetPlaybackStateCommand.class", "Java", 0, 25, 0, 0, 25
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\GetUserPlaylistsCommand.class", "Java", 0, 25, 0, 0, 25
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\PauseCommand.class", "Java", 0, 20, 0, 0, 20
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\PlayCommand.class", "Java", 0, 20, 0, 0, 20
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\PreviousTrackCommand.class", "Java", 0, 20, 0, 0, 20
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\SkipTrackCommand.class", "Java", 0, 20, 0, 0, 20
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\control\Context.class", "Java", 0, 12, 0, 0, 12
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\control\Controller.class", "Java", 0, 48, 0, 3, 51
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\Log.class", "Java", 0, 6, 0, 0, 6
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\SpotifyClient.class", "Java", 0, 20, 0, 0, 20
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\Followers.class", "Java", 0, 8, 0, 0, 8
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\Item.class", "Java", 0, 14, 23, 0, 37
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\Owner.class", "Java", 0, 36, 0, 0, 36
